deg,test RMSE,train RMSE
1,0.17140484981673984,0.21719607800036358
2,0.17182057055693453,0.21714877784084077
3,0.1733185338094949,0.21702377813383297
4,0.17329111621307106,0.21702373763689892
5,0.17443400797171454,0.21697299820404117
6,0.3162802305393994,0.21596852132902436
7,0.7204361089990462,0.21535319977650394
8,0.7189215582409252,0.21376866081085064
9,2.6392017606857077,0.2131149164727851
10,0.8405755952819844,0.21257569917828967
11,16.963197880217916,0.21010090371589799
12,2.4076906928086768,0.20980368061779708
13,52.42078127425905,0.20823568848600635
14,48.6572004470954,0.2109581695667322
